Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2003-07-22 00:00:00-04:00,67.24689257252749,67.73749793824787,66.72221536805269,67.57395935058594,49968300,0.0,0.0,0.0
2003-07-23 00:00:00-04:00,67.60123255511297,67.76476598471818,66.9675346669295,67.62167358398438,37275400,0.0,0.0,0.0
2003-07-24 00:00:00-04:00,68.13271924044605,68.37120657199262,67.0288621062494,67.11062622070312,40896200,0.0,0.0,0.0
2003-07-25 00:00:00-04:00,67.2264740561551,68.33714670972395,66.80400702786885,68.2962646484375,43241100,0.0,0.0,0.0
2003-07-28 00:00:00-04:00,68.39163377423407,68.80728523586207,67.91465404519198,68.04412078857422,34382800,0.0,0.0,0.0
2003-07-29 00:00:00-04:00,68.23489798152985,68.31666725674891,67.24006186020652,67.73066711425781,53472100,0.0,0.0,0.0
2003-07-30 00:00:00-04:00,67.86697196194287,67.96918229835886,67.41043835106959,67.5671615600586,28363300,0.0,0.0,0.0
2003-07-31 00:00:00-04:00,68.12589519983752,68.75959295137723,67.57396154615269,67.72386932373047,54937200,0.0,0.0,0.0
2003-08-01 00:00:00-04:00,67.58762437649726,67.81929636166845,66.94029550293268,67.12427520751953,49321000,0.0,0.0,0.0
2003-08-04 00:00:00-04:00,66.98799298215236,67.45815756205728,66.09536650019753,67.12427520751953,55214100,0.0,0.0,0.0
2003-08-05 00:00:00-04:00,67.05614582921511,67.29463325780266,65.64565189734871,65.70016479492188,61415600,0.0,0.0,0.0
2003-08-06 00:00:00-04:00,65.88410557751733,66.81761370309796,65.70012595662553,66.08171081542969,50096900,0.0,0.0,0.0
2003-08-07 00:00:00-04:00,66.21120436170747,66.82446139658165,65.93183488943092,66.77676391601562,43427400,0.0,0.0,0.0
2003-08-08 00:00:00-04:00,66.99477810022944,67.15150128887775,66.61319843900988,66.96752166748047,27357300,0.0,0.0,0.0
2003-08-11 00:00:00-04:00,66.9539141052773,67.48540169062113,66.66772408355538,67.21965789794922,34631400,0.0,0.0,0.0
2003-08-12 00:00:00-04:00,67.26053383765131,67.86015986935563,67.06292856389292,67.8329086303711,43285600,0.0,0.0,0.0
2003-08-13 00:00:00-04:00,68.01688488993837,68.03732591903587,67.13788424830754,67.48539733886719,36152000,0.0,0.0,0.0
2003-08-14 00:00:00-04:00,67.52628015467178,67.96918818507831,67.08337212426525,67.66937255859375,35525100,0.0,0.0,0.0
2003-08-15 00:00:00-04:00,67.70346618428736,67.99646649569908,67.53993269843582,67.88063049316406,12567000,0.0,0.0,0.0
